,source_id,TIC,N_sectors,ra,ra_error,dec,dec_error,l,b,ecl_lon,ecl_lat,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,hmag,jmag,kmag,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,A_K,numax_COR,numax_err_COR,dnu_COR,dnu_err_COR,numax_BHM,numax_err_BHM,dnu_BHM,dnu_err_BHM,numax_A2Z,numax_err_A2Z,dnu_A2Z,dnu_err_A2Z,mean_numax,mean_numax_err,mean_dnu,mean_dnu_err,N_pipelines_mean,seismic_param_gold,logg_HERMES,e_logg_HERMES,Teff_SKYMAPPER,e_Teff_SKYMAPPER,feh_SKYMAPPER,e_feh_SKYMAPPER,ecc_MB2018,ecc_err_MB2018,rperi_MB2018,rperi_err_MB2018,rap_MB2018,rap_err_MB2018,zmax_MB2018,zmax_err_MB2018,APOGEE_ID_APOGEE,FE_H_APOGEE,FE_H_ERR_APOGEE,MG_FE_APOGEE,MG_FE_ERR_APOGEE,LOGG_APOGEE,LOGG_ERR_APOGEE,TEFF_APOGEE,TEFF_ERR_APOGEE,age_PARAM_BHM,age_68L_PARAM_BHM,age_68U_PARAM_BHM,mass_PARAM_BHM,mass_68L_PARAM_BHM,mass_68U_PARAM_BHM,rad_PARAM_BHM,rad_68L_PARAM_BHM,rad_68U_PARAM_BHM,CHI2_gof_PARAM_BHM,mbol_PARAM_BHM_NO_L,mbol_68L_PARAM_BHM_NO_L,mbol_68U_PARAM_BHM_NO_L,age_APO_PARAM_BHM,age_68L_APO_PARAM_BHM,age_68U_APO_PARAM_BHM,mass_APO_PARAM_BHM,mass_68L_APO_PARAM_BHM,mass_68U_APO_PARAM_BHM,rad_APO_PARAM_BHM,rad_68L_APO_PARAM_BHM,rad_68U_APO_PARAM_BHM,CHI2_gof_APO_PARAM_BHM,luminosity_BHM,luminosity_68U_BHM,luminosity_68L_BHM,luminosity_COR,luminosity_68U_COR,luminosity_68L_COR,luminosity_A2Z,luminosity_68U_A2Z,luminosity_68L_A2Z,luminosity_HERMES,luminosity_68L_HERMES,luminosity_68U_HERMES,luminosity_GAIA,luminosity_68L_GAIA,luminosity_68U_GAIA,luminosity_APO_GAIA,luminosity_68L_APO_GAIA,luminosity_68U_APO_GAIA,evstate_MV,evstate_agreement_MV,lum_flag_BHM,lum_flag_COR,lum_flag_A2Z,numax_dnu_consistent,numax_predicted,numax_predicted_err
12909,4614272211511868160,323443202,2,70.38090513633249,0.01844672928721457,-85.7610534838555,0.020273282313395122,298.8298373767357,-29.344632072089247,274.2648030461072,-70.50447015199452,0.9852074979275168,0.020368233621296975,0.923087474005766,0.03487606365261535,1.1643637394769841,0.044733152531338874,-12.015469807855013,0.7543158254585558,0.17162668704986572,0.07611747831106186,-0.3285019099712372,-0.164289653301239,0.2498367428779602,-0.09011562913656235,-0.3840727210044861,0.26500794291496277,0.12203637510538101,0.23938502371311188,8.1850004196167,8.642999649047852,8.07800006866455,10.244515419006348,10.799017906188965,9.573259353637695,0.04194366616915683,32.67,0.82,3.95,0.023,33.18,0.67,3.91283,0.102568,34.98,3.33,3.41,0.67,33.61000061035156,3.494309663772583,3.7576100826263428,0.6781955361366272,3,1,-9999.0,-9999.0,5003,171,-0.6729999780654907,0.17399999499320984,0.17555710008226466,0.002483189838914296,7.5850929060136325,0.01399465495776031,10.816929582047349,0.06714818093511088,0.6974322907014909,0.01589298876980888,--,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.597534,2.158999,3.198678,1.361814,1.259628,1.440408,11.697597,11.247223,11.926701,0.42375,0.031418,-0.14336,0.370702,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,78.56294958243328,94.57113120751349,63.586593008733516,70.7344878709549,83.53354931374855,60.717084809468204,160.62472449872087,314.1187454027315,74.44253848460689,-9999.0,-9999.0,-9999.0,82.83262078121143,75.81377387228555,90.75590303257411,-9999.0,-9999.0,-9999.0,-1,0,1,1,0,1,21.335023476341135,1.9726914996004972
7549,4614311759569593600,317336534,2,61.207174784230496,0.02075157643227847,-85.6719852492107,0.022762228722088364,299.200382431318,-29.955108390801215,276.1748008037039,-70.24953083502314,1.0761619115816,0.023206105205148812,-1.4523287365614796,0.042007992295120554,-6.074703957110302,0.052487502078398515,56.93439374583263,0.21649149160454062,-0.028045011684298515,0.1631109118461609,-0.1743493676185608,0.18691526353359222,0.24380189180374146,0.20520006120204926,-0.11224571615457535,0.07144992798566818,-0.1603337973356247,-0.0835784301161766,8.513999938964844,9.239999771118164,8.444000244140625,10.956473350524902,11.611065864562988,10.206711769104004,0.034134894981684656,32.17,0.86,4.123,0.023,32.85,0.865,4.13927,0.0514722,31.62,1.57,3.57,0.2,32.21333312988281,1.9881460666656494,3.944089889526367,0.20779410004615784,3,1,-9999.0,-9999.0,4607,143,-0.6179999709129333,0.16699999570846558,0.2671344107880939,0.0030030327082757324,5.597525550359563,0.02325942668995662,9.685970624933292,0.027659256263047105,0.6087184011321405,0.013675937249209735,--,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,14.402906,11.600456,17.20036,0.831686,0.786154,0.88916,9.313402,9.104299,9.561218,1.73939,0.686794,0.429949,0.768029,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,39.706736365905556,47.05189971781929,32.85652331842873,38.624826516714066,45.04289793144055,32.649620625106394,68.2426083197527,89.79144438269823,50.72038568104475,-9999.0,-9999.0,-9999.0,41.177417142727364,37.43141420646447,44.90830781656577,-9999.0,-9999.0,-9999.0,-1,0,1,1,0,1,30.55458168266985,3.1224522384531994
12912,4615110932725370624,317350663,3,63.747711019690016,0.020270183441183778,-84.86140471055062,0.020465680185841825,298.31544393524825,-30.29393874789776,277.0037363333585,-71.04023760524373,1.9180472494000567,0.021494212104495126,-9.137077149429413,0.04019055687644114,12.00934943907603,0.04586494077200919,8.328057467764785,0.4094383963986153,0.25990840792655945,0.1376265585422516,-0.32265356183052063,-0.12462858855724335,0.11453902721405029,-0.095460444688797,-0.263510525226593,0.3105391561985016,0.10127963125705719,0.30266720056533813,7.4670000076293945,8.027000427246094,7.348999977111816,9.696352005004883,10.304181098937988,8.989472389221191,0.028348940887617968,61.33,1.17,5.833,0.008,62.33,1.94,5.78189,0.0653766,60.9,3.74,5.73,0.28,61.52000045776367,4.372653484344482,5.781630039215088,0.28764230012893677,3,1,-9999.0,-9999.0,4803,132,-0.10899999737739563,0.16200000047683716,0.16016237067352218,0.0016246425842139645,7.904438769033457,0.0020624462736331672,10.91942405927572,0.03719630348421887,0.6644688515203035,0.013018941670601247,--,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.832198,2.276939,3.52377,1.446375,1.346996,1.551006,9.012117,8.775772,9.252803,1.38861,0.405954,0.294476,0.678629,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,45.597383846699444,53.2696530814495,38.53148019457836,42.51702816886363,49.567326727934095,36.697584305775436,46.57036731718796,62.81406148775405,35.58228655170775,-9999.0,-9999.0,-9999.0,38.66514874590915,36.09558998350486,41.40399452468145,-9999.0,-9999.0,-9999.0,-1,0,1,1,1,1,37.992048814763336,3.4440477150495354
6511,4615320316675329024,302967590,3,62.11317715563524,0.04562733152774561,-83.86567605060128,0.040867008018318045,297.5108096022169,-31.027417993382652,279.19267759451526,-71.76827236718918,1.655972361145427,0.04715721313021336,19.804557835443717,0.09322570658427709,8.471798673046406,0.09015325125722128,,,-0.07363414019346237,0.3114399015903473,-0.30586719512939453,0.12095477432012558,0.3824092447757721,-0.029274480417370796,0.19443556666374207,-0.1731201410293579,0.27651774883270264,-0.2487812042236328,8.069999694824219,8.58899974822998,7.940999984741211,10.195714950561523,10.763603210449219,9.513970375061035,0.032536866719649116,59.02,1.18,5.849,0.01,57.5,1.79,6.05879,0.120835,57.93,4.0,6.04,0.33,58.150001525878906,4.538336753845215,5.9825968742370605,0.3515694737434387,3,1,-9999.0,-9999.0,4891,145,-0.39899998903274536,0.1809999942779541,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,--,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,7.39429,5.604946,9.79869,1.025073,0.941887,1.114512,7.780642,7.516882,8.052992,0.14893,1.033389,0.86254,1.199307,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,35.54571312786478,42.183686465073606,29.25869686698298,43.456305165621494,49.34182698233547,37.97780510848021,37.69629597798868,50.22187593361885,27.450463718578874,-9999.0,-9999.0,-9999.0,31.867818117145337,28.828114836250627,35.06318101466061,-9999.0,-9999.0,-9999.0,-1,0,1,0,1,1,50.685184709178166,6.889446924687931
6518,4615628420449330176,323423503,3,67.08970313304344,0.025084581970799474,-84.02187769578154,0.022107073923100105,297.3030841651238,-30.5097333926484,277.50880014921654,-71.92525169390903,0.6414070285558906,0.024174979858390285,2.1341862902367885,0.052573151461894,3.5485999643034583,0.057003674033558493,55.23826694391226,1.6223971537266326,0.2781614363193512,0.30951520800590515,0.2533990442752838,0.1763167530298233,0.2636059820652008,0.14437955617904663,-0.06284615397453308,0.10359598696231842,-0.015818437561392784,0.3584296703338623,8.244999885559082,8.944000244140625,8.022000312805176,10.859129905700684,11.59351921081543,10.055130004882812,0.04255136841285186,13.43,0.35,1.737,0.006,13.72,0.4,1.71095,0.122049,13.7,0.63,1.9,0.07,13.616666793823242,0.8242572546005249,1.7826499938964844,0.14082598686218262,3,1,-9999.0,-9999.0,4355,185,-0.46299999952316284,0.18400000035762787,0.18462954082058936,0.005120240581678856,5.475661991131457,0.06902340723683009,7.961317781577317,0.019716168795425038,0.9640160569850321,0.03315381993192684,--,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.649258,1.771222,4.002243,1.404147,1.234218,1.598948,18.982314,17.83602,20.204914,4.26254,-0.761207,-1.060397,-0.4194,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,171.86083059803678,236.84481190489373,122.75216114774565,162.60730440469777,199.50082170860063,131.5248014966542,117.63786549532719,153.4620166386361,86.5694918646412,-9999.0,-9999.0,-9999.0,148.35303833485858,128.62124841508933,172.86822759475544,-9999.0,-9999.0,-9999.0,-1,0,1,1,1,1,6.737448499661388,1.4768182044375777
6556,4615720646281078912,358500555,2,60.21135763297223,0.021219592209839634,-83.37622011817864,0.020209916542789367,297.22122804004493,-31.499514867608525,280.70025747876707,-72.02261791513367,1.3589213543420804,0.02316196226289699,3.1525594089574747,0.03869186231475349,12.93625875031034,0.04128369625486488,46.9576298903169,0.34553785772251994,0.09597434103488922,0.1772731989622116,-0.13743174076080322,0.004527260083705187,0.32835036516189575,0.1269586980342865,-0.42534855008125305,0.1834930181503296,-0.4336235523223877,0.015394025482237339,7.2769999504089355,7.873000144958496,7.165999889373779,9.506484031677246,10.096564292907715,8.808727264404297,0.027189108250064323,25.36,0.58,2.879,0.005,24.71,0.940001,2.89758,0.0956695,26.94,2.24,3.23,0.19,25.670000076293945,2.4975192546844482,3.0021934509277344,0.21278546750545502,3,1,-9999.0,-9999.0,4746,138,-0.38600000739097595,0.16300000250339508,0.08468772840979881,0.0011522569241467495,6.644619363652162,0.015473258608929896,7.872555464068092,0.003905941940766766,0.7424313139459621,0.01264943961832593,--,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.835073,2.156771,3.704734,1.361324,1.248292,1.484155,13.820456,13.320043,14.336047,0.26871,-0.236788,-0.431801,-0.010752,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,105.68931915801893,132.43483607835537,85.12813134782627,117.75677907602841,134.8559543660293,101.05753522197129,80.67285482680495,112.57072373935611,59.70613255332155,-9999.0,-9999.0,-9999.0,88.60523089264319,81.52818813023796,96.27455794084975,-9999.0,-9999.0,-9999.0,-1,0,1,0,1,1,15.524085028625999,1.668639714257413
6569,4615971884689531520,358500340,3,60.396403333878055,0.02019580064101045,-82.50814622709655,0.01977988943981171,296.41686071743044,-32.03467805140508,282.50680250308693,-72.69677504034279,1.5496985577671325,0.01978414188576131,0.5022380462950755,0.041048758817882294,19.465657912277877,0.04055129475825645,3.4236233285239734,0.367258528084215,0.15783379971981049,0.28189921379089355,-0.24412694573402405,-0.230009987950325,0.12368034571409225,-0.19646231830120087,-0.4163185954093933,-0.028127197176218033,-0.17814357578754425,0.12356138229370117,7.693999767303467,8.232000350952148,7.573999881744385,9.808329582214355,10.381579399108887,9.126411437988281,0.02708457791308482,31.62,0.81,4.056,0.006,30.6,1.65,4.10377,0.105929,31.72,3.7,3.78,0.42,31.31333351135254,4.131416320800781,3.9799232482910156,0.4331938922405243,3,1,-9999.0,-9999.0,4840,107,-0.2809999883174896,0.15700000524520874,0.14044697263070732,0.0019955499632483137,7.705147673996931,0.008652481535690093,10.222626986607473,0.03297861358437526,0.6422285387592569,0.01214502331183831,--,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,13.350362,9.982645,16.929547,0.883862,0.834081,0.947485,9.83307,9.595765,10.101882,0.42746,0.473123,0.386136,0.553446,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,45.69514744570026,54.092266532732815,38.022319230147225,51.17361228062826,56.9570057414983,45.21883072094285,69.17820209053671,110.82087872935956,42.48985867940537,-9999.0,-9999.0,-9999.0,49.22438251828073,46.109676149422576,52.255359117914395,-9999.0,-9999.0,-9999.0,-1,0,1,1,0,1,30.65211539880572,2.634561441762692
6639,4616077197287694464,302967104,3,61.72079191100996,0.021569528121426776,-82.19357497438583,0.01775882570473628,295.9968596340767,-32.09236689336924,282.75183961641375,-73.05006032895413,1.0498075217147924,0.019621692761610632,5.47822311888954,0.04166400949037911,1.6970835905409891,0.03713719860618613,30.11246718436406,0.3716128601133393,0.057482559233903885,0.19178088009357452,-0.24022145569324493,-0.021809175610542297,0.04460277780890465,0.022052567452192307,-0.35681891441345215,0.09151430428028107,-0.1943197101354599,-0.007105146534740925,8.156999588012695,8.663999557495117,8.001999855041504,10.315474510192871,10.917167663574219,9.614317893981934,0.02581751827849545,46.85,0.91,4.53,0.007,46.41,1.25,4.56588,0.103179,46.7,2.41,4.33,0.08,46.6533317565918,2.863337278366089,4.475293159484863,0.1307474821805954,3,1,-9999.0,-9999.0,4682,159,0.5220000147819519,0.17100000381469727,0.1133359633149583,0.0018854246803457972,6.506190507975391,0.029670383306899417,8.170621934743934,0.009059935170411926,0.5071771272681685,0.010697725700075628,--,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.069541,1.63498,2.423714,1.709442,1.608063,1.87831,11.296535,11.018455,11.750735,2.3353,0.39736,0.297246,0.576167,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,55.94654793087034,70.37838766389389,46.96229094185557,61.20129774189037,72.56861494643124,51.431065152786985,75.28991821947719,91.0279768754072,59.726578568397656,-9999.0,-9999.0,-9999.0,66.18116102811334,60.30376358110702,71.45886174316881,-9999.0,-9999.0,-9999.0,-1,0,1,1,1,1,20.478020592204427,2.1014905527238383
12952,4618557180123712512,348762374,3,45.88756733867703,0.025841105154013617,-83.14253564123959,0.024109623353087643,298.4911250455416,-32.80722653397047,284.72307011988227,-70.912202731225,1.162844447826365,0.02729108615229644,17.12757830281927,0.04902653445357695,25.687796988842546,0.0524626205158588,18.394315637667585,0.21234964250958316,0.07516627758741379,0.3795837461948395,-0.19484169781208038,0.06287849694490433,0.14640332758426666,0.10254273563623428,-0.20865021646022797,0.1677190512418747,-0.03520623594522476,0.11338955909013748,8.206999778747559,8.668000221252441,8.09000015258789,10.207727432250977,10.762165069580078,9.545845985412598,0.026497917606249373,65.81,1.21,6.029,0.009,66.85,2.935,6.04277,0.0901018,66.32,4.86,6.06,0.64,66.32666778564453,5.804991245269775,6.043923377990723,0.646373987197876,3,1,-9999.0,-9999.0,4949,129,0.4440000057220459,0.17499999701976776,0.27792186873756425,0.00783206533475303,5.692647910764537,0.05104087626456488,10.079387091639319,0.07765790422547258,1.031787824571421,0.03579151136910891,--,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.179426,1.004655,1.34319,2.086795,1.972075,2.230112,10.154297,9.94599,10.404249,1.17346,0.45765,0.337252,0.526919,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,51.80677053444308,60.068807939963754,43.91092356708431,50.48251798101471,58.59399128895681,44.90570536564361,51.587671936463494,80.17661882876749,30.33406087273609,-9999.0,-9999.0,-9999.0,56.14725268711726,51.97134595508493,61.159241634560246,-9999.0,-9999.0,-9999.0,2,0,1,1,1,1,28.977829923717714,3.2914310970549394
6533,4618673208664102912,348770460,3,46.779827795157885,0.023207106868482794,-82.68302952758022,0.019176507065404778,298.0643060446774,-33.11545536943138,285.7430375089465,-71.24968842343446,1.692247965461374,0.021225968105219473,19.13610186378793,0.043289166518706824,19.650717522059463,0.03922204310960192,-6.357589029177111,0.20239924389500383,0.27522119879722595,0.23849894106388092,-0.1641501784324646,-0.04348872974514961,0.09251410514116287,-0.013406162150204182,-0.23721668124198914,0.0388038344681263,-0.14784574508666992,0.29071345925331116,7.434000015258789,7.997000217437744,7.304999828338623,9.700662612915039,10.321276664733887,8.983658790588379,0.024389822697282907,42.64,0.93,4.635,0.006,42.83,1.335,4.61188,0.106581,45.85,4.17,4.08,0.52,43.77333450317383,4.476161956787109,4.442293167114258,0.5308441519737244,3,1,-9999.0,-9999.0,4687,194,0.29100000858306885,0.1860000044107437,0.16722889908142924,0.002259499036639717,6.884791900653198,0.022268642587293108,9.65018605577909,0.013255887716857373,0.35734529095084716,0.004179120966197436,--,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.802927,2.54828,3.387762,1.528391,1.427173,1.578836,11.040949,10.641435,11.121432,0.39961,0.396982,0.348571,0.665186,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,48.10343334221289,60.10487000737581,38.262607263245926,46.32670858030081,57.114376867176716,37.51378984195747,92.47254309818598,168.00931611273882,51.598502634389725,-9999.0,-9999.0,-9999.0,48.47942758649542,43.85904220677794,53.53435161943581,-9999.0,-9999.0,-9999.0,-1,0,1,1,0,1,27.95620223631783,3.0215570116911685
